Model,Run_Day,Lead_Hours,N_Common,RMSE,MAE,MAPE,Correlation
GraphCast,01,144,41,0.9122,0.6374,25.6056,0.3255
GraphCast,03,96,33,0.6538,0.5383,21.9484,0.7975
GraphCast,05,48,25,0.6156,0.4482,18.1797,0.8412
GraphCast,06,24,21,0.7064,0.5175,19.5550,0.8333
GraphCast,07,0,17,0.6715,0.4697,17.8776,0.8399
