Model,Run_Day,Lead_Hours,N_Common,RMSE,MAE,MAPE,Correlation
GraphCast,01,144,41,1.5205,1.0305,38.4635,0.4305
GraphCast,03,96,33,0.8340,0.6774,28.4363,0.8795
GraphCast,05,48,25,0.8853,0.7081,23.4286,0.8801
GraphCast,06,24,21,0.9493,0.7053,23.8999,0.9005
GraphCast,07,0,17,0.8338,0.6435,20.7177,0.9104
