Model,Run_Day,Lead_Hours,RMSE,MAE,MAPE,Correlation
FourCastNetv3,1,144,1.3700,0.9779,35.6836,0.5174
FourCastNetv3,3,96,1.1196,0.7969,28.7829,0.7320
FourCastNetv3,5,48,1.1046,0.8520,26.9397,0.8229
FourCastNetv3,6,24,1.0817,0.9045,27.6356,0.8697
FourCastNetv3,7,0,1.0667,0.8557,22.0541,0.8192
