Model,Run_Day,Lead_Hours,RMSE,MAE,MAPE,Correlation
FourCastNetv3,1,144,0.5517,0.3974,15.6881,0.8171
FourCastNetv3,3,96,0.3991,0.2922,12.3096,0.8802
FourCastNetv3,5,48,0.4157,0.3064,12.0774,0.9311
FourCastNetv3,6,24,0.5036,0.4033,15.3014,0.9076
FourCastNetv3,7,0,0.5017,0.4227,14.9095,0.8877
