Model,Run_Day,Lead_Hours,N_Common,RMSE,MAE,MAPE,Correlation
Aurora 2.5,01,144,41,1.3143,0.9196,33.1869,0.6531
Aurora 2.5,03,96,33,1.5213,0.9800,29.9552,0.5696
Aurora 2.5,05,48,25,1.1124,0.8090,23.6820,0.8320
Aurora 2.5,06,24,21,1.1985,0.9849,29.2216,0.8740
Aurora 2.5,07,0,17,1.3423,1.0923,27.0580,0.8682
