Model,Run_Day,Lead_Hours,N_Common,RMSE,MAE,MAPE,Correlation
Aurora 2.5,01,144,41,0.6609,0.4709,20.1861,0.6379
Aurora 2.5,03,96,33,0.4928,0.3937,15.7206,0.8415
Aurora 2.5,05,48,25,0.4895,0.3794,15.1135,0.9150
Aurora 2.5,06,24,21,0.5311,0.4514,17.3644,0.9359
Aurora 2.5,07,0,17,0.5828,0.5039,18.2385,0.9158
