Model,Run_Day,Lead_Hours,N_Common,RMSE,MAE,MAPE,Correlation
IFS HRES,01,144,41,0.7272,0.4626,18.3559,0.8843
IFS HRES,03,96,33,1.2425,0.8148,26.4360,0.8318
IFS HRES,05,48,25,0.4508,0.3435,11.7832,0.9729
IFS HRES,06,24,21,0.4206,0.3194,9.4990,0.9793
IFS HRES,07,0,17,0.6519,0.4917,12.3588,0.9680
