Model,Run_Day,Lead_Hours,N_Common,RMSE,MAE,MAPE,Correlation
IFS HRES,01,144,41,0.4146,0.3005,13.1662,0.8971
IFS HRES,03,96,33,0.7506,0.5060,19.3036,0.8119
IFS HRES,05,48,25,0.3712,0.2577,10.1128,0.9407
IFS HRES,06,24,21,0.3037,0.2275,8.8009,0.9591
IFS HRES,07,0,17,0.4455,0.3820,13.1683,0.9440
